日期,教案1,教案2,教案3,教案4
DAY1,橫花樣(七八),基本正方形(七),短文造型(七八九十),
DAY2,三方向對稱(七八),構成三角形(七),短文造型(七八九十),
DAY3,三段式(九十),基礎寫字(七八九十),短文造型(七八九十),
DAY4,四方向對稱(七八),以線圍形(八),短文造型(七八九十),
DAY5,橫花樣(七八),基本正方形(七),短文造型(七八九十),
DAY6,三方向對稱(七八),構成三角形(七),短文造型(七八九十),
DAY7,三段式(九十),基礎寫字(七八九十),短文造型(七八九十),
DAY8,四方向對稱(七八),以線圍形(八),短文造型(七八九十),
DAY9,補差(八),直徑(八九),短文造型(七八九十),
DAY10,以點鋪線形(十),短文造型(七八九十),,
DAY11,測量長度(八),測量面積(七),短文造型(七八九十),
DAY12,形內寫字(七八九十),短文造型(七八九十),,
DAY13,補差(八),直徑(八九),短文造型(七八九十),
DAY14,以點鋪線形(十),短文造型(七八九十),,
DAY15,測量長度(八),測量面積(七),短文造型(七八九十),
DAY16,形內寫字(七八九十),短文造型(七八九十),,
